Tstart 10.000000, Tend 0.010000, alpha 0.000020
1 Fitness= 45960 Best= 45960 T=9.999980
10001 Fitness= 4830 Best= 4740 T=9.800180
20001 Fitness= 3710 Best= 3680 T=9.600380
30001 Fitness= 3730 Best= 3660 T=9.400580
40001 Fitness= 3780 Best= 3650 T=9.200780
50001 Fitness= 3680 Best= 3570 T=9.000980
60001 Fitness= 3710 Best= 3570 T=8.801180
70001 Fitness= 3680 Best= 3510 T=8.601380
80001 Fitness= 3530 Best= 3440 T=8.401580
90001 Fitness= 3550 Best= 3420 T=8.201780
100001 Fitness= 2530 Best= 2500 T=8.001980
110001 Fitness= 2630 Best= 2430 T=7.802180
120001 Fitness= 1580 Best= 1520 T=7.602380
130001 Fitness= 1540 Best= 1510 T=7.402580
140001 Fitness= 1610 Best= 1510 T=7.202780
150001 Fitness= 1640 Best= 1510 T=7.002980
160001 Fitness= 1560 Best= 1510 T=6.803180
170001 Fitness= 1580 Best= 1510 T=6.603380
180001 Fitness= 1580 Best= 1510 T=6.403580
190001 Fitness= 1550 Best= 1510 T=6.203780
200001 Fitness= 1650 Best= 1510 T=6.003980
210001 Fitness= 1580 Best= 1510 T=5.804180
220001 Fitness= 1570 Best= 1510 T=5.604380
230001 Fitness= 1560 Best= 1510 T=5.404580
240001 Fitness= 1540 Best= 1500 T=5.204780
250001 Fitness= 1490 Best= 1490 T=5.004980
260001 Fitness= 1550 Best= 1490 T=4.805180
270001 Fitness= 1520 Best= 1490 T=4.605380
280001 Fitness= 1500 Best= 1470 T=4.405580
290001 Fitness= 1490 Best= 1460 T=4.205780
300001 Fitness= 1520 Best= 1460 T=4.005980
310001 Fitness= 1480 Best= 1460 T=3.806180
320001 Fitness= 1480 Best= 1460 T=3.606380
330001 Fitness= 1480 Best= 1460 T=3.406580
340001 Fitness= 1470 Best= 1460 T=3.206780
350001 Fitness= 1490 Best= 1460 T=3.006980
360001 Fitness= 1470 Best= 1460 T=2.807180
370001 Fitness= 1460 Best= 1460 T=2.607380
380001 Fitness= 1460 Best= 1460 T=2.407580
390001 Fitness= 1460 Best= 1460 T=2.207780
400001 Fitness= 1460 Best= 1460 T=2.007980
410001 Fitness= 1470 Best= 1460 T=1.808180
420001 Fitness= 1460 Best= 1460 T=1.608380
430001 Fitness= 1440 Best= 1440 T=1.408580
440001 Fitness= 1440 Best= 1440 T=1.208780
450001 Fitness= 1440 Best= 1440 T=1.008980
460001 Fitness= 1440 Best= 1440 T=0.809180
470001 Fitness= 1440 Best= 1440 T=0.609380
480001 Fitness= 1440 Best= 1440 T=0.409580
490001 Fitness= 1440 Best= 1440 T=0.209780
500000 Fitness= 1440 Best= 1440


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
126	5	10030	2	2
127	1	10026	1	2
128	2	9245	2	2
129	4	10547	1	1
130	3	9207	1	1
131	1	10045	1	2
132	1	9208	1	1
133	2	10648	1	1
134	2	10187	1	1
135	1	10508	2	2
136	1	9624	2	2
137	1	9788	1	1
138	3	10729	1	1
139	4	10064	2	2
140	2	9787	2	2
141	1	9426	5	5
142	1	9246	2	2
143	3	10056	1	1
144	4	9485	1	2
145	1	10048	1	1
146	1	9976	1	1
147	1	10127	2	4
148	3	8646	1	1
149	5	9647	1	1
150	1	10347	7	7
151	4	9619	1	1
152	3	9565	1	1
153	2	9006	3	3
154	1	10787	1	1
155	5	9505	1	1
156	2	10107	2	4
157	1	10248	1	1
Summary details:
#violations= 0
fitness= 1570
82 students got their choice 1 project
29 students got their choice 2 project
19 students got their choice 3 project
18 students got their choice 4 project
9 students got their choice 5 project
Tstart 10.000000, Tend 0.010000, alpha 0.000020
1 Fitness= 46880 Best= 46880 T=9.999980
10001 Fitness= 5820 Best= 5780 T=9.800180
20001 Fitness= 3750 Best= 3680 T=9.600380
30001 Fitness= 3740 Best= 3660 T=9.400580
40001 Fitness= 1660 Best= 1630 T=9.200780
50001 Fitness= 1520 Best= 1450 T=9.000980
60001 Fitness= 1500 Best= 1440 T=8.801180
70001 Fitness= 1510 Best= 1440 T=8.601380
80001 Fitness= 1500 Best= 1440 T=8.401580
90001 Fitness= 1450 Best= 1380 T=8.201780
100001 Fitness= 1460 Best= 1380 T=8.001980
110001 Fitness= 1410 Best= 1380 T=7.802180
120001 Fitness= 1470 Best= 1380 T=7.602380
130001 Fitness= 1450 Best= 1380 T=7.402580
140001 Fitness= 1460 Best= 1380 T=7.202780
150001 Fitness= 1500 Best= 1380 T=7.002980
160001 Fitness= 1450 Best= 1380 T=6.803180
170001 Fitness= 1460 Best= 1370 T=6.603380
180001 Fitness= 1390 Best= 1370 T=6.403580
190001 Fitness= 1370 Best= 1320 T=6.203780
200001 Fitness= 1480 Best= 1320 T=6.003980
210001 Fitness= 1360 Best= 1320 T=5.804180
220001 Fitness= 1390 Best= 1320 T=5.604380
230001 Fitness= 1380 Best= 1320 T=5.404580
240001 Fitness= 1350 Best= 1310 T=5.204780
250001 Fitness= 1330 Best= 1300 T=5.004980
260001 Fitness= 1390 Best= 1300 T=4.805180
270001 Fitness= 1310 Best= 1300 T=4.605380
280001 Fitness= 1320 Best= 1290 T=4.405580
290001 Fitness= 1340 Best= 1290 T=4.205780
300001 Fitness= 1360 Best= 1290 T=4.005980
310001 Fitness= 1340 Best= 1290 T=3.806180
320001 Fitness= 1310 Best= 1290 T=3.606380
330001 Fitness= 1310 Best= 1290 T=3.406580
340001 Fitness= 1310 Best= 1290 T=3.206780
350001 Fitness= 1290 Best= 1290 T=3.006980
360001 Fitness= 1290 Best= 1290 T=2.807180
370001 Fitness= 1310 Best= 1290 T=2.607380
380001 Fitness= 1310 Best= 1290 T=2.407580
390001 Fitness= 1290 Best= 1290 T=2.207780
400001 Fitness= 1290 Best= 1290 T=2.007980
410001 Fitness= 1290 Best= 1290 T=1.808180
420001 Fitness= 1290 Best= 1290 T=1.608380
430001 Fitness= 1290 Best= 1290 T=1.408580
440001 Fitness= 1290 Best= 1290 T=1.208780
450001 Fitness= 1290 Best= 1290 T=1.008980
460001 Fitness= 1270 Best= 1270 T=0.809180
470001 Fitness= 1270 Best= 1270 T=0.609380
