1 Fitness= 44840 Best= 54740
10001 Fitness= 47940 Best= 33650
20001 Fitness= 39870 Best= 30830
30001 Fitness= 44790 Best= 30830
40001 Fitness= 50040 Best= 30830
50001 Fitness= 45700 Best= 30830
60001 Fitness= 46800 Best= 30830
70001 Fitness= 45920 Best= 30830
80001 Fitness= 54130 Best= 30830
90001 Fitness= 46910 Best= 30830
100000 Fitness= 51140 Best= 30830


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
9205	6	1
9206	3	1
8885	2	1
9245	6	2
9246	5	2
9887	4	3
9505	2	1
9976	3	1
10062	3	1
9989	3	1
10248	3	1
10249	2	1
10508	3	2
130	1	9206	4	1
131	1	10045	1	2
132	4	10331	1	1
133	1	10249	1	1
134	4	10107	2	4
135	3	9827	7	1
136	2	9827	7	1
137	1	9788	1	1
138	5	10268	1	2
139	2	9245	7	2
140	1	9999	6	4
141	5	9912	3	1
142	1	9246	2	2
143	5	10017	1	1
144	3	10567	1	1
145	3	9166	1	2
146	5	9968	2	1
147	2	9688	3	1
148	4	9426	3	5
149	3	10015	2	1
150	1	10347	8	7
151	5	9984	1	1
152	1	9246	2	2
153	2	9006	2	3
154	1	10787	1	1
155	5	9505	2	1
156	5	9787	2	2
157	3	10187	2	1
Summary details:
#violations= 42
fitness= 44890
41 students got their choice 1 project
29 students got their choice 2 project
32 students got their choice 3 project
24 students got their choice 4 project
31 students got their choice 5 project
1 Fitness= 49830 Best= 49760
10001 Fitness= 49110 Best= 31920
20001 Fitness= 47790 Best= 31920
30001 Fitness= 44970 Best= 30720
40001 Fitness= 48690 Best= 29730
50001 Fitness= 43820 Best= 29730
60001 Fitness= 49680 Best= 29730
70001 Fitness= 43950 Best= 29730
80001 Fitness= 49800 Best= 29730
90001 Fitness= 47830 Best= 29730
100000 Fitness= 53010 Best= 29730


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9205	3	1
9689	5	1
9405	2	1
9968	2	1
9245	12	2
9426	6	5
9982	3	2
9989	3	1
10248	4	1
10508	4	2
9992	4	1
9446	2	1
10347	8	7
10607	2	1
9624	4	2
10527	4	1
10187	3	1
9565	2	1
9827	5	1
9912	3	1
9667	5	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	4	9619	1	1
2	5	9968	2	1
3	1	10767	1	1
4	5	10046	2	4
5	5	9426	6	5
6	3	8826	1	1
7	4	9265	3	4
8	4	10508	4	2
9	3	9982	3	2
10	4	10471	1	1
11	1	10044	1	1
12	4	9992	4	1
13	1	10607	2	1
14	3	9989	3	1
15	4	10187	3	1
16	4	9624	4	2
17	1	10022	1	2
18	1	10327	1	4
